name,requirement,description,company
大模型算法实习生,"1. 硕士及以上学历，计算机、数学、统计学或相关专业； 
2. 熟悉Java/Python/C++等编程语言，良好的编码习惯和一定的工程能力 
3. 具有机器学习或深度学习算法的基础知识，熟练掌握自然语言处理、多模态或大模型相关算法和模型； 
4. 良好的沟通能力、团队合作精神以及较强的问题解决能力。 
5. 对每一行代码负责，对业务方负责，具备工匠精神。","负责LLM大模型评测算法的研究以及评测模型的训练、优化，具体工作内容包括但不限于：
1. 深入理解大规模语言模型的模型结构、训练过程以及评测方案，根据模型的训练过程以及评测结果，对大语言模型存在的问题和评测存在的问题进行研究，根据研究结果进行优化落地。
2. 深入分析模型评测结果中不符合认知的异常，根据具体的异常制定完善的研究策略，通过对比、归纳等方法，产出研究分析结论，指导模型训练优化。
3. 构建Data-Centric的数据-训练-评测闭环，探索研究大模型的数据、模型结构、评测策略、评测数据等对模型评测效果的影响，得出有效认知，指导模型训练和评测方案的建设。
4. 追踪大模型方向的前沿进展，积极主动地学习和探索新数据分析、模型训练以及模型评测方法。 
5. 与各相关部门保持良好沟通，深度参与大模型预训练、SFT、RLHF和评测等阶段，共同推动大模型持续优化。",meituan
大模型数据运营-语音方向实习生,"1. 本科以上学历，语言类相关专业；熟练阿拉伯语或香港粤语。
2. 语音学、音系学基础扎实，熟悉语言学研究方法；
3. 具备语音数据标注执行/管理经验；
4. 会使用python进行数据处理者优先，会编写praat脚本者优先；
5. 团队协作意识强，抗压能力强，性格良好，业务意识强。","1. 深入理解多模态大模型，调研多语种语音音系特征，完善标注规范，为业务和算法提供知识技能支持；
2. 负责大模型语音数据的质量监控或验收等工作，并定期对语音技术效果做出评价与反馈；
3. 协助mentor管理一或多个语种的数据生产项目，协助产品和算法优化模型效果。",meituan
视觉AI产品经理-项目实习生,"1.具备良好的逻辑思维和用户理解能力，对AI技术和行业应用有自己的理解；
2.具备较强的数据分析和问题解决能力，能够通过行业调研、数据分析和用户回访等手段梳理产品的优化思路；
3.具备较强的团队合作和沟通能力，能够与技术团队、运营团队等多个部门进行有效的协作。","1.参与多模态交互方向的AI产品设计工作，包括但不限于虚拟人、视频化交互、图像搜索等；
2.进行市场调研和竞争分析，收集行业动态和用户需求，梳理产品优化思路；
3.梳理产品的卖点和营销策略，协同运营团队进行产品的推广和应用；
4.与技术团队紧密合作，推动产品的开发和迭代，确保项目的进度和质量；
5.跟踪产品上线后的表现，收集用户反馈和数据，进行数据分析和产品改进。",meituan
用户增长策略专家（餐、综、酒旅）,"教育背景：
本科及以上学历，市场营销、商业分析、经济学、数据科学等相关专业优先。
工作经验：
5年以上互联网公司或O2O平台相关工作经验，有增长策略、用户增长、商家增长、营销增长等领域经验者优先。
有成功设计并落地大型增长策略的经验，熟悉到餐、酒旅、到综等业务方向者优先。
核心能力：
业务理解能力：具备深入的业务理解能力，能够快速洞察业务痛点，提出有效的增长策略。
增长策略设计能力：能够基于业务需求，设计并输出可落地的增长策略，推动业务增长。
跨团队协同能力：具备较强的跨团队协作能力，能够与业务团队、产品团队、技术团队等多方高效合作，推动策略落地。
数据驱动与优化能力：熟练使用数据分析工具，能够通过数据驱动决策，优化增长策略。
情商与领导力：具备较高的情商和领导力，能够通过沟通技巧和影响力，拉动多方协同合作。
前瞻性视野与洞察力：具备较高的战略视野和行业洞察力，能够发现前瞻性机会，推动中台能力建设。","1、深度业务增长策略输出：深入分析美团平台到餐、酒旅、到综业务的现状、痛点及增长机会，输出可落地的增长策略，推动业务目标的实现。结合行业趋势、用户需求和市场竞争，制定中长期增长规划，确保策略的前瞻性和可执行性。为业务的增长目标（新客、订单、成本、ROI等）负责。
2、增长手段协同与落地：与业务增长团队、营销增长等不同增长手段协同，推动策略落地执行，确保增长目标的达成。整合内外部资源，优化增长路径，提升业务增长效率。
3、业务理解与需求转化：深入理解业务需求，将业务增长目标转化为具体的策略和行动计划，确保策略与业务目标一致。
4、跨团队协同与领导：作为增长BP（业务伙伴），与业务团队、产品团队、技术团队、营销团队等多方协同，推动策略落地，确保项目顺利推进。
5、中台能力建设与前瞻性机会挖掘：结合业务需求和行业趋势，推动中台工具、方法论和体系的优化与迭代，满足未来长周期、更大增长目标下的能力诉求。沉淀可复用的增长策略和能力，提升中台对多业务场景的支持效率，为平台长期增长提供坚实基础。
6、数据驱动与策略优化：通过数据监控和分析，评估增长策略的效果，持续优化策略，提升业务增长效率。建立数据驱动的增长策略方法论，为未来业务增长提供支持。",meituan
Keeta 海外招聘leader,"Bachelor’s degree in Human Resources, Business Administration, or related field.
Minimum of 5 years of strategic recruiting experience, preferably in an international business context.
Proven track record of successfully recruiting for complex and senior-level positions.
Strong understanding of global labor markets and international hiring practices.
Excellent communication and interpersonal skills.
Ability to work independently and manage multiple priorities in a fast-paced environment.
Proficiency in using Applicant Tracking Systems (ATS) and other recruitment tools.
High level of discretion and professionalism.","1. Work closely with business in order to deeply understand teams’ organization structure, responsibilities, strengths/weaknesses and key business drivers. Utilize this information to develop the most effective recruiting strategies.
2. Capable to build and maintain network of potential candidates through proactive market research and on-going relationship management, gauging chemistry of candidates for fit and motivation rather than simply sell a role. Meanwhile, manage to ensure all necessary sourcing channels are quickly built up and sufficiently utilized.
3. Use a sound recruiting process to effectively scale the business, including guidance on job descriptions, levels, selection process & criteria, closing and onboarding.
4. Have an active participation in the full cycle of recruitment efforts, including emphasis on the ability of assessment skills to help screening, evaluating candidates and ensuring the highest bar.
5. Lead the hiring calibration and decision making process, while being in charge of the offer proposal and negotiation process.
6. Have the data acumen. Being able to dive deep the recruiting process as needed to identify the issues ahead and diagnose the root causes effectively.
7. Emphasis on continuous improvement, as such it is expected that you will spend time to ensure ongoing education/enablement towards hiring managers and interviewers on recruitment “best practice”, to uplift the recruiting skills in the organization wise.
8. Join or lead cross-team recruiting/HR projects as needed.",meituan
大模型客服运营平台产品经理岗,"1.硕士研究生及以上学历
2.三年以上产品经理相关工作经验，有成功的agent应用设计及创新经验与经历，热衷于探索agent搭建及优化方法
3.具备agent平台功能设计经验以及大模型客服数据生产系统、评测系统经验者优先
3.具备较强的线上管理及系统可用性经验，能够有效设计和优化大模型客服agent配置及管理平台、数据工程、评测系统功能及流程。
4.具备较强的数据分析能力和解决问题能力，能够从数据中发现问题并提出解决方案。","1.负责大模型客服运营管理平台功能设计，涵盖但不限于模型配置、agent配置与管理、灰度上线、监控、降级、运营分析、回流反馈等核心模块，保障美团各业务大模型客服Agent上线效果、线上可用性及数据驱动优化分析效率。根据业务发展和用户需求，对平台进行前瞻性的功能规划和迭代优化。

2.负责大模型客服数据生产系统及评测系统规划与设计，确保数据埋点、数据采样、数据分析、数据清洗、保证数据准确性、完整性与生产效率、及时性。提出数据生产系统的优化建议，运用先进的数据分析技术和工具，对数据进行深度挖掘和分析，为大模型的训练和优化提供有力的数据支持。

3.驱动大模型客服评测系统规划，如面向客服模型及应用的自动化测试框架、数据分析工具等；确保评测工具在客服评测场景中的丰富性、高效性以及评测指标的准确性，保障较高的人工评分一致率，提高评测工作的效率和质量。",meituan
小象超市-服务体验运营专家,"1.有3年及以上体验优化或服务运营工作经验；
2.有良好的服务运营及用户体验改善意识，数据分析能力强，能够通过数据洞察问题；
3.有较强的目标感和拿结果意识，自驱力强，具备坚韧性；
4.对新事物有较强的学习能力，可以快速抓住事物规律并举一反三；
5.较好的沟通能力、合作共赢的意识和反向驱动能力。","1.负责小象超市服务体验的整体规划和执行，深入了解自营即时零售业务，制定对标行业高水平的售后服务标准；
2.负责制定售后服务全链路的服务策略，包括自助服务、智能服务、人工服务等，推动体验和成本的高质量平衡；
3.负责搭建并维护售后服务指标评估体系，并持续优化。",meituan
旅游度假-商业分析师（目标及资源管理）,"1.3年以上商业分析工作经验，有预算及目标管理/补贴资源管理相关的工作经历，对所在领域的业务逻辑有深刻理解；
2.较强的数据分析能力及框架搭思维能力，具备主动迭代意识；
3.有强自驱力和责任心，工作认真细致，风险意识强；
4.具备良好的数据分析能力，精通相关数据提取工具，熟练操作常用办公软件，工作效率高。","1.预算制定：结合外部市场趋势和内部业务策略及规划，搭建度假业务预算模型，制定全年预算目标；
2.目标管理：深入理解业务经营现状、洞察需求变化趋势，及时发现目标达成风险并识别偏差原因，提出策略调整建议;
3.补贴预算制定：根据业务策略制定年度及月度补贴预算目标（补贴额、补贴率）；
4.补贴资源分配与效率监控：制定补贴资源分配规则，对各补贴策略的效果进行评估及归因，监控补贴使用进度并及时提示风险，调优补贴分配，牵引业务策略迭代。",meituan
闪购-超市便利KA-LKA商家运营（华东）,"1.本科及以上学历，3年以上工作经验；
2.具备敏锐的市场洞察力，对零售行业有深入的了解与认知，有线上业务有一定的理解与思考；
3.具备成熟的商务谈判经验、数据分析能力及解决方案能力；
4.对数据敏感，熟练使用相关办公软件，掌握数据可视化和基本统计方法；
5.善于团队合作，较强的学习能力，愿意接受挑战，对于工作尽责，能接受短期一定频率的出差。","1.负责所服务KA品牌超市业务的整体运营，帮助商家线上销售业务及能力的不断提升，为各项运营结果指标负责；
2.对所辖区域商家门店分类/分层管理，制定运营策略，并能够推动实施落地；
3.帮助商家进行线上商品选品，优化商品结构，改善门店拣货履约，并输出可复制的标准化流程；
4.挖掘商家及日常团队的运营痛点，从产品角度出发，提出优化建议，通过产品实现运营效率的提升；
5.具备一定的商务沟通能力和市场敏感性，负责KA超市行业信息猎取，汇聚有价值的信息并反馈。",meituan
服务体验-数据产品实习生,"1.本科以上学历在校生，每周可保证出勤4天，实习期不少于3个月；
2.有一定的数据基础，能使用SQL以及可视化工具","1.协助客户服务和体验部的数据运营和数据治理工作的落地，确保数据准确性和一致性；
2.主动深入业务，发现数据使用的痛点，协助优化数据工具产品，提高业务方的信息获取效率；
3.协助承担部分业务数据需求的处理，进行需求分析和解决方案设计，与数仓研发对接，完成数据需求交付。",meituan
业务合规经理,"1、5年及以上舞弊或相似事件调查经验
2、具备扎实的取证技巧，擅长谈话讯问。
3、具备跨部门协同能力，擅长沟通。
4、吃苦耐劳，能够应对高频出差。","1、受理举报线索，并利用专业合法的调查技巧开展舞弊调查。
2、对美团核心本地商业业务舞弊风险进行精准动态识别，建立所BP业务舞弊风险的全景图。
3、针对业务的舞弊风险大图，利用专业判断与业务共识高优风险，并利用专业调查技能验证舞弊风险实际水位。
4、协同内部其他职能团队，构建外部调查资源，支持调查及风险治理工作。",meituan
优选拓服-线上运营中心HRBP-成都,"1.本科及以上学历，专业不限，3年及以上人力资源工作经验；
2.基本功扎实，业务敏感度高，可以对业务场景深入思考，掌握人力资源相关的知识技能及常用工具；
3.积极主动，良好的沟通能力，逻辑清晰、具备结构化系统性思维，有同理心和良好的服务意识；
4.心智成熟、独立思考，出色的多任务、多角色平衡能力，敢于面对挑战。","1. 协助业务进行策略研讨和规划，并将业务策略转化为组织发展策略，站在业务视角思考长周期的组织发展，致力于帮助业务成功；
2. 承接事业部的管理体系和HR团队的战略，将管理基本功深化落实到业务各个链条和环节中，为业务团队在选、用、育等各个人力模块提供专业的运营支持和决策依据；
3. 搭建组织，协助业务负责人一起搭建清晰的组织架构，搭建核心班子和人才梯队，确保各层级储备率及人才厚度；
4. 传承公司的文化价值观，提升团队的凝聚力和战斗力，并保障底线控制风险。",meituan
大家电品牌专卖店运营,1.3年以上互联网电商相关行业工作经验，具有大家电品牌方渠道经验或电商品类运营经验优先； 2.有较强的运营策略制定能力、有商家服务意识、有用户体验意识、有门店/渠道拓展能力，能够结合行业特点、品类特点、用户需求对目标进行策略化拆解并落地； 3.具备良好的沟通协调和业务谈判能力，富有激情； 4.以终为始，有较强的责任心和执行力，能够推进项目； 5.具有较强的学习能力，严谨自律，富有工作热情和团队意识。,1.负责即时零售大家电品类商家运营，制定运营策略，对GMV目标负责； 2.梳理并优化商家结构，对不同层级的商家制定差异化的运营策略，提升商家的活跃度和经营能力； 3.负责行业营销活动的规划和实施，监控各项数据指标，通过数据分析验证并优化； 4.运用数据化思维，定期分析并优化行业结构和品类策略； 5.充分了解行业的专业知识，关注前沿发展和市场变化，定期分析行业情况，寻找市场机会点，成为行业运营专家； 6.了解公司组织架构，掌握系统工具，积极协调各部门资源，推进跨部门协同合作。,meituan
医药-B2C-低价增长专家,"1. 本科或以上学历，工作履历和经验能力匹配度突出者可适度放宽；
2.2年及以上医疗行业（食品保健、个护家清，母婴等）经验，咨询、证券背景优先；
3. 对数据敏感度高，具备精细化分析经验，且学习能力、独立思考能力强；
4. 乐于沟通，语言表达和感染说服能力突出，可应对复杂情形的商业谈判、组织协调；
5. 积极乐观，认同美团价值观并努力践行。","1.负责低价品用增增长，比如慢病新客、保健品新客，通过裂变工具实现低价持续被用户看到
2.推动医药快递电商业务模式的C端产品需求能力建设，做好项目管理；
3.完善低价多曝光的流量分发规则，向商家运营做好宣导；
4.分析快递电商的用户需求，建立可信任的低价，提高用户的信任； 
5.分析各个C端环节的转化率效率并提高，对接多个C端产品；",meituan
火石业务发展部-江浙区团餐BD,"●较强的沟通能力和同理心，能够和客户深入交流、赢得客户信任、获取客户需求、进行专业宣讲和方案引导；
●能够跟进客户需求制定销售策略；
● 自我驱动、有创新意识、有激情、结果导向，具备良好的团队合作精神，以客户为中心，能组织、协调周边资源达成组织、项目的目标；
● 较强的学习能力、适应性强、组织协调能力强 。","●深刻、全面的理解客户需求，协同相关部门推动产品库迭代，帮助客户更好进行服务规划、完成服务目标、提升服务满意度，从而提升美团公司品牌影响力；
●深入理解客户流程、决策的决策链和关键人；
●理解行业规律及市场空间，总结销售方法论；
●开拓中大型餐饮客户、维护客户关系、建立长期的合作关系，对销售结果负责。",meituan
美团支付用户运营,"1、本科及以上学历。
2、有互联网行业运营工作经验，具备比较好的用户思维，熟悉各种互联网运营玩法。
3、精通数据分析和用户行为分析，熟练掌握SQL等数据处理工具。
4、出色的沟通技巧和团队合作精神，能够在多元化团队中发挥影响力，实现共赢。","1、制定并执行美团支付银行卡账户经营策略，通过精准的用户画像和个性化的推广活动，提升银行卡用户在美团支付的交易活跃、频道访问、分期交易等意愿。
2、策划并推动高影响力的支付产品营销活动，利用多元化渠道和先进的营销技术，扩大用户基础和市场份额。
3、运用数据分析手段，对支付业务的关键指标进行监控和深入分析，确保数据驱动的决策制定。
4、定期进行业务复盘和效果评估，结合市场反馈和用户行为数据，调整优化运营策略。
5、主导跨部门合作，与产品、研发、数据、商分等团队协同工作，确保支付产品的能力迭代和用户体验优化。",meituan
特价团用户增长运营专家（新客增长方向）,"1、3年以上互联网产品运营、营销玩法等岗位经验，有过裂变玩法的操盘经验，熟悉交易型平台基础增长逻辑

2、产品sense和用户共情能力强，数据敏感性强，学习适应能力强，业务理解能力强，有通过玩法驱动用户增长的经验

3、具备商业分析思维能力和用户视角思考问题的能力，有较好的共情用户和共情商家的能力

4、具备跨团队协同经验，具备ownership意识，可以横向影响多个团队共同完成目标","1、为新客增长及新生期用户留存成长负责，输出目标客群在不同时空场景下的商品与服务诉求，协同供给运营及产品团队持续优化用户体验

2.、识别关键做功人群，设计合理的拉新转化策略，包括但不限于：补贴策略、裂变玩法、交易链路优化等，并不断提高增量及效率",meituan
央企战略拓展,"3年以上SAAS行业/B2B商务拓展或公共事务相关工作经验，对央企内部运行、沟通方式较为熟悉。

有较强的观察力和应变能力，优秀的人际交往和协调能力，以及社会活动能力，能够与内外部建立良好的合作关系和信任关系。

具备良好的职业仪表与专业素养，言谈举止稳重大方，工作认真仔细，自驱性强，抗压能力强。","1.负责开发和维护央企客户关系，实现战略客户覆盖的目标。

2.根据公司业务及规划，建立有建设性的、高效的央企事务关系网络，为业务拓展进行资源拉通赋能。

3.负责客户需求挖掘及跟进，协调内外部资源，解决客户问题，并确保客户满意度。

4.负责组织参与战略型会议及行业型活动，包括日常接待、会议参与、会议拓客、活动组织等。",meituan
美团直播机构达人中台策略运营,"1、本科及以上学历，对直播电商或货架电商有丰富经验，具备生活服务相关经验者优先;

2、具备达人运营或MCN工作经验，具有策略运营能力，数据分析能力逻辑能力强；

3、拥有较深的消费者洞察和策略思考能力，能够从数据中发现并解决问题;

4、良好的沟通技巧和组织协调能力，细致耐心的工作态度能够协调各方资源达成目标，富有激情和创造性，以及极好的抗压能力;

5、优秀的学习能力、执行力和逻辑思维，结果驱动，有责任心和担当。","1、负责建立美团直播机构及达人生态运营及管理，设计达人激励体系和分层管理体系，制定阶段性达人发展策略，不断优化达人运营模式，推动模式创新;

2、分析达人经营的问题和难点，通过相应的内容、货盘、流量解决方案，促进达人生态高效增长，并为商家和用户提供品质服务；

3、与协作方持续验证达人成长策略的可实现路径，沉淀、迭代可规模化复制的方法论和产品化机制。",meituan
闪购-商家端产品经理（门店供应链方向）,"1. 候选者至少需要有2-3个模块的产品规划经验，具备从噪音中识别真实声音的能力。
2. 应具有出色的洞察和场景还原能力，能从实际出发，全方位站在业务的角度来看待问题，并在原始需求场景的驱动下完成产品的规划和实施。
3. 应具备以目标为导向的思维方式，能根据最终目标拆分任务并制定具体实施计划。","1. 负责闪购门店供应链方向的产品规划、设计和迭代，提升门店入驻效率，提高门店合规水平，为下游应用系统提供准确、全面的数据。
2. 负责收集、整理闪购门店管理需求，结合即时零售特性迭代供应链实体模型和业务流程，不断满足业务创新诉求。
3. 负责撰写产品需求文档，明确产品功能、界面设计和用户流程，与开发团队紧密合作，推动产品的开发和上线。",meituan
战略研究专家,"1、本科及以上学历；
2、有2年及以上战略咨询、行业研究、PE/VC、FA等互联网公司相关经验；
3、具有较强的数据敏感度、逻辑推导能力和对新事物的求知欲，能从定性和定量分析中洞察商业价值，具备非常强的分析总结能力，具备良好的数据呈现能力和观点表达能力；
4、有强烈的好奇心和自驱力，独立思考能力强；沟通能力强，能清晰表达对项目的思考和理解，良好的跨团队沟通写作能力。","1、对新零售行业进行深入研究，追踪行业玩家，理解行业格局和发展趋势，为业务制定策略并规划落地路径； 
2、协助项目经理完成商业模式相关的探索型项目，能独立负责其中的模块，全面思考分析商业机会，为业务团队提供策略输入； 
3、研究内容涉及零售、供应链业务多个板块（如：供给、客户分析、物流），从全链路视角找到业务最优解。",meituan
商业分析师,"1、3年以上商业分析/数据分析，具有较强的数据处理及分析能力，熟练掌握数据处理工具及经营分析方法；
2、善于学习，对商业和业务逻辑敏感，具备良好的逻辑分析能力和系统性思维能力；
3、对数据敏感，能从大量数据中敏锐判断对业务的影响，具备非常强的分析总结能力和数据呈现能力；
4、自我驱动力极强，对工作结果交付有高度责任心，能积极主动且善于团队合作。","1、研究新业务及策略分析，根据不同的客户生命周期，协助制定合理的客户分层标准，并在此基础上制定合理的策略打法；
2、围绕业务核心策略开展监测和复盘，搭建策略效果评估框架，协同业务团队持续迭代策略，推动业务目标达成；
3、围绕核心策略制定目标，并与业务侧配合制定目标达成路径；
4、进行行业研究及客户洞察，发现新的客户机会并规划目标及策略；",meituan
商业分析师-物流方向,"1、本科及以上学历，3年及以上数据分析相关经验，有供应链行业背景或物流背景优先；
2、熟悉互联网常见的分析工具和数据分析方法论；
3、逻辑思维能力出色，思路严谨缜密，理解能力、沟通表达能力和协调推进能力良好；
4、对供应链感兴趣，热爱思考，自驱力强，学习能力强。","1. 构建和完善物流经营规划，制定物流预算目标，并拆解关键提效策略，输出解决方案并推动业务重要决策；
2. 基于经营策略和目标，拆解可控输入指标，沉淀并完善经营指标框架，通过周月报形式定期监控，定位关键经营问题，实现目标-策略-监控的闭环经营管理；
3. 结合当前业务痛点与长期发展方向，推动物流作业流程及模式迭代，提升全链路履约效率及时效；
4. 规划入仓服务产品体系及策略，支持商流的高效入库发展；",meituan
蛋品区域采购,"1、本科及以上学历，专业不限；
2、具备3年以上蛋类采购经验；
3、熟悉采购工作流程，对价格谈判、订单管理、账务处理、供应商开发等具有丰富的经验；
4、有较强的数据分析能力，熟练掌握计算机操作；
5、诚信可靠，工作态度积极，具有良好的人际沟通能力及协调能力；
6、思路清晰，有计划性且能落地。","1、负责区域蛋类采购业务管理，保持与城市的良好沟通协作，改善城市端供应链，持续提升城市销售和毛利水平。
2、招商：负责蛋品类区域供应商的开发与评审，整合供应商资源及供货渠道，满足区域城市的业务发展需求；
3、优化蛋品商品结构：熟悉商品结构，根据不同业务场景需求，选择与之匹配的商品结构组合；
4、建立供应体系包括但不限于：供应商管理及考核、成本管控、整合供应商及采购渠道，控制进价并保持零售价的竞争力； 
5、根据市场行情，管控蛋品成本，并制定蛋类商品的促销计划以及品类的销售和利润指标；",meituan
冷冻快手菜商品开发专家,"1.大学本科以上学历，食品科学、供应链管理等相关专业优先。
2.5年以上商品开发、采购或供应链管理经验，有冷冻食品行业经验者优先。
3.具备较强的谈判技巧、团队管理能力和市场分析能力。
4.熟悉食品安全标准和供应链管理流程，具备较强的危机处理能力。","1.负责冷冻快手菜商品开发、采购和供应链管理工作，确保产品质量和供货稳定。
2.负责与供应商进行谈判、合同签订和供应商关系管理，保证采购成本和质量控制。
3.具有业务敏锐度，对于现有货品的销售数据、市场竞争力、用户满意度、差异化程度等方向能有基础判断，并制定增长策略；
4.负责采购的供应商资源开发及管理，通过供应商谈判获得销售渠道的供应链优化，效能提升。",meituan
粮油速食资深采购专家,"1、本科及以上学历；
2、5年及以上粮油速食品类采购经验，有电商、O2O前置仓等经验优先； 
3、具有较强的数据分析能力和市场敏感度； 
4、熟悉所负责品类领域的供应链、品牌分布，对商品的开发和经营策略有较好认知；有比较深的行业沉淀，有粮油速食品类的行业资源，能快速达成和品类头部品牌深度对话。
5、熟练使用办公软件，逻辑性强，对零售有热情，对粮油速食行业有较深的认知和沉淀。","1、品类管理：对粮油速食品类进行规划和管理，按照类目、价位段、季节性、区域特性、用户需求等多个维度搭建商品结构；依据数据制定年、季、月商品上新和汰换计划；完成所负责品类的销售额，毛利额，促销投入等各项预算； 
2、商品管理：确保产品品质，维护准确的商品信息，谈判更优的成本，制定有效的价格策略，确保产品的性价比和市场竞争力；通过有效的库存管理达到商品动销率和库存周转目标； 
3、供应商管理：组织调研市场，筛选优质供货商，完成供应商年度合同谈判，完善供应商信息，确保合规性要求；监控供应商各项指标进行管理；搭建和优化供应链，完成供应链源头化升级，争取产品促销资源； 
4、经营管理：跟其他相关部门配合协同，确保全链路配合顺畅，效率提升。 
5、通过供应链的建设，外部商品及促销资源的获取，对内整合，快速提升品类规模",meituan
美团神券营销运营专家,"1.本科及以上学历，有大型互联网公司行业经验，至少3年整合营销、用户运营经验者等优先；

2.有较强的策略能力及良好的沟通和理解能力，有项目负责人经验优先；

3.有复杂项目管理能力，具有丰富活动策划经验、项目管理经验，对流量运营有经验，有大型整合营销活动项目落地经验更优；

4.有较强的数据分析及敏锐的市场洞察能力，具备创新意识（结合热点探索更多合作新模式）","1、基于商场、街区等线下交易集中范围以神券为核心工具驱动交易下翻上和增长的策略统筹&落地；
2、能够基于商场、百货、零售行业特性进行经营策略分层，把资源和做功方式与实际场景用差异化策略匹配运营起来。
3、通过密集的业务沟通快速了解各业务需求，并持续关注行业动态，以神券作为整合工具，及时输出驱动业务增长的策略打法，并联动业务侧共同落地；

4、在比较复杂的项目中，胜任项目军师的责任，对项目效果与资源效率负责，包括但不限于模式创造，目标设定，需求盘点、节奏规划、效果复盘等；

5、以First-Principles方式持续输出并迭代策略，借助神券能力，把神券街做成服务政府、商场的低成本、高效率、长期性经营工具。",meituan
活动运营,"1、本科及以上学历，市场营销、传媒、广告等相关专业优先。
2、有较强的策略能力及良好的沟通和理解能力，有大型互联网平台公司、本地生活、电商等行业经验，至少5年整合营销、用户、活动运营相关经验者等优先;
3、有复杂项目管理能力，具有丰富活动策划经验、项目管理经验，对流量运营有经验，有大型整合营销活动项目落地经验更优
4、有较强的数据分析及敏锐的市场洞察能力，具备创新意识，能够结合热点探索营销新模式。","1、负责战略渠道的整合营销活动，能基于平台各业务的场景及渠道合作需求、业务数据分析，输出符合的营销策略，推进营销项目落地并沉淀营销方法论；
2、挖掘战略渠道业务增长机会，协同各业务团队，及时输出驱动业务增长的方案与营销策略，助力业务规模健康增长；
3、负责内外的资源整合工作负责。基于合作渠道的目标、统筹差异化的活动策略。包括但不限于目标设定、方案策划、节奏把控、资源整合、营销玩法和传播点设计等；
4、熟悉本地生活业务形态，对供给有较好的认知。基于的合作渠道的内容属性及其活动形式，给出明确的供给需求、保证活动供给质量，以更好达成渠道分销及活动目标。",meituan
增长投放策略运营,"1、本科及以上学历，3年以上国内广告投放或用户增长运营经验；

2、具备出色的用户洞察、数据分析、文字表达能力，能独立完成复杂项目的分析报告、复盘报告；

3、有营销sense，能够结合业务场景输出有效营销策略，同时对投放/广告感兴趣，愿意在投放领域深入研究，有较强的自驱力与主动学习能力；

4、出色的沟通协调能力以及推进能力，能调动跨部门资源，推动项目按期落地。","1、负责美团App的站外营销项目操盘，结合数据分析、用户研究、产品及运营策略，优化整体站外投放策略，对美团App的DAU、交易、复购等指标负责；

2、负责全渠道的投放工作，手段包括但不限于信息流投放、达人营销、线下地推等，合理分配项目预算、优化流量结构，提升投放效果；

3、基于对用户增长的理解，结合美团多元化的本地生活业务属性，制定渠道、人群、素材、承接匹配的投放策略；关注并优化站外营销全链路用户转化率及用户体验，包括但不限于流量获取、承接玩法、商品推荐及补贴策略，跨部门联动产品、研发、商分等团队有效协同达成高效增长；

4、对行业动态、市场趋势保持高度关注，并结合平台特性和用户偏好，提出合理化投放建议。",meituan
增长运营专家—CID方向,"1、本科及以上学历，3年以上广告行业产品经验，至少1年CID项目经验
2、熟悉了解引流电商玩法，能够对全链路进行拆解分析，发现问题和机会，驱动产品的优化迭代；
3、做事认真主动，具有较强的责任心、团队合作精神、良好沟通表达能力；
4、对行业信息以及数据有一定的敏感度，并有良好的运营优化能力和数据分析监控能力。","1、负责CID项目的能力建设以及业务应用，服务平台增长。对整体项目的方向策略负责。涵盖大健康、电商、外卖、闪购、到店等等业务。
2、发现产品链路问题，并根据业务方向持续调优，建设健全产品能力。
3、建设服务商以及商家体系。持续增强经营杠杆能力。
4、协同自投供给、素材、算法、数据各模块，对齐并跟进各模块进展和效率",meituan
渠道运营专家,"1、本科及以上学历，3年以上工作经验，有本地生活、电商等相关行业从业经验优先，有策略运营、商业分析经验者优先；
2、有结构化思考与分析能力，兼具大局观与对细节的敏感，善于表达与沟通；
3、强数据敏锐度，善于发现数据背后的问题并给出解决方案。","1、负责美团战略合作伙伴快手渠道的本地综合/酒旅等行业产品运营，制定各行业供给/补贴策略和增量方案等，实现行业GMV增长，并且为所负责方向的业务结果负责；
2、完善和优化本地综合/酒旅行业基础运营体系, 建立有效的内外部跨团队协同机制，推进项目关键节点落地，提升内外部协作效率；
3、洞察行业发展趋势，深入了解本地生活行业，能够发现行业机会点与风险点，找到关键驱动要素并制定有效项目，通过项目的推动执行确保目标达成。",meituan
公共事务专家（北京）,"（1）有在相关部门等意识形态口工作经验；
（2）曾在相关工作5年以上，特别是在研究院、公共事务或公共沟通等部门有过实操经验；
（3）大学本科学历以上。","（1）结合公共事务相关项目进行联动，牵头信息报送机制梳理、内容生产、反馈回收和核心渠道建设等。
（2）推动公司内重要项目专项，形成跨部门工作框架、工作策略、拆解长短期举措并推动各团队拿结果。
（2）参与其他公共战略议题的运营管理、机制建设等工作。",meituan
